Fecha,Nominados,AAA o Indie,Resultado
2014,Dragon Age Inquisition,AAA  ,Ganador
2014,Bayonetta 2,AAA  ,Perdedor
2014,Dark Souls II,AAA  ,Perdedor
2014,Hearthstone,AAA  ,Perdedor
2014,Middle-earth: Shadow of Mordor,AAA  ,Perdedor
2015,The Witcher 3: Wild Hunt,AAA  ,Ganador
2015,Bloodborne,AAA  ,Perdedor
2015,Fallout 4,AAA  ,Perdedor
2015,Metal Gear Solid V: The Phantom Pain,AAA  ,Perdedor
2015,Super Mario Maker,AAA  ,Perdedor
2016,Overwatch,AAA  ,Ganador
2016,Doom,AAA  ,Perdedor
2016,Inside,Indie,Perdedor
2016,Titanfall 2,AAA,Perdedor
2016,Uncharted 4: A Thief´s End,AAA,Perdedor
2017,The Legend of Zelda: Breath of the Wild,AAA,Ganador
2017,Horizon: Zero Dawn,AAA,Perdedor
2017,Persona 5,AAA,Perdedor
2017,PUBG: Battlegrounds,AAA,Perdedor
2017,Super Mario Odyssey,AAA,Perdedor
2018,God of War,AAA,Ganador
2018,Assassin´s Creed: Odyssey,AAA,Perdedor
2018,Celeste,Indie,Perdedor
2018,Marvel´s Spider Man,AAA,Perdedor
2018,Monster Hunter: World,AAA,Perdedor
2018,Red Dead Redemption 2,AAA,Perdedor
2019,Sekiro: Shadows Die Twice,AAA,Ganador
2019,Control,AAA,Perdedor
2019,Death Stranding,AAA,Perdedor
2019,Resident Evil 2,AAA,Perdedor
2019,Super Smash Bros Ultimate,AAA,Perdedor
2019,The Outer Worlds,AAA,Perdedor
2020,The Last of Us: Part II,AAA,Ganador
2020,Animal Crossings: New Horizons,AAA,Perdedor
2020,Doom Eternal,AAA,Perdedor
2020,Final Fantasy VII Remake,AAA,Perdedor
2020,Ghost of Tsushima,AAA,Perdedor
2020,Hades,Indie,Perdedor
2021,It Takes Two,AAA,Ganador
2021,Deathloop,AAA,Perdedor
2021,Metroid Dread,AAA,Perdedor
2021,Psychonauts 2,AAA,Perdedor
2021,Ratchet and Clank: Rift Apart,AAA,Perdedor
2021,Resident Evil Village,AAA,Perdedor
2022,Elden Ring,AAA,Ganador
2022,A Plague Tale: Requiem,AAA,Perdedor
2022,God of War: Ragnarok,AAA,Perdedor
2022,Horizon: Forbidden West,AAA,Perdedor
2022,Stray,Indie,Perdedor
2022,Xenoblade Chronicles 3,AAA,Perdedor
2023,Baldur´s Gate 3,AAA,Ganador
2023,Alan Wake 2,AAA,Perdedor
2023,The Legend of Zelda: Tears of the Kingdom,AAA,Perdedor
2023,Marvel´s Spider Man 2,AAA,Perdedor
2023,Resident Evil 4,AAA,Perdedor
2023,Super Mario Bros Wonder,AAA,Perdedor
2024,Astro Bot,AAA,Ganador
2024,Balatro,Indie,Perdedor
2024,Black Myth Wukong,AAA,Perdedor
2024,Elden Ring: Shadow of the Erdtree,AAA,Perdedor
2024,Final Fantasy VII Rebirth,AAA,Perdedor
2024,Metaphor: ReFantazio,AAA,Perdedor
2025,Clair Obscur: Expedition 33,Indie,No se sabe
2025,Hades II,Indie,No se sabe
2025,Hollow Knight: Silksong,Indie,No se sabe
2025,Death Stranding 2: On The Beach,AAA,No se sabe
2025,Donkey Kong Bananza,AAA,No se sabe
2025,Kingdom Come Deliverance II,AAA,No se sabe
